,price,address,overall_size,brokerage,street,city,state,zip_code,beds,baths,sq_ft
0,"$525,000 ","1343 Elmhurst Cir, Atlanta, GA 30316","3 bds2 ba1,950 sqft - House for sale","MLS ID #7171362, COMPASS",1343 Elmhurst Cir, Atlanta,GA,30316,3,2,1950
1,"$420,000 ","1436 Connally Ave SW, Atlanta, GA 30310",4 bds2 ba768 sqft - House for sale,"MLS ID #7170861, EXP REALTY, LLC.",1436 Connally Ave SW, Atlanta,GA,30310,4,2,768
2,"$950,000 ","170 Boulevard Se APT E412, Atlanta, GA 30312","2 bds2 ba1,926 sqft - Condo for sale","MLS ID #7164836, ATLANTA FINE HOMES SOTHEBY'S INTERNATIONAL",170 Boulevard Se APT E412, Atlanta,GA,30312,2,2,1926
3,"$874,900 ","170 Dahlgren St SE, Atlanta, GA 30317","4 bds3 ba2,379 sqft - New construction","MLS ID #7151218, RE/MAX METRO ATLANTA CITYSIDE",170 Dahlgren St SE, Atlanta,GA,30317,4,3,2379
4,"$725,000 ","1348 Berwick Ave NE, Atlanta, GA 30306","2 bds1 ba1,260 sqft - House for sale","MLS ID #7171174, KELLER WILLIAMS REALTY CITYSIDE",1348 Berwick Ave NE, Atlanta,GA,30306,2,1,1260
5,"$2,150,000 ","2575 Peachtree Rd NE APT 24C, Atlanta, GA 30305","3 bds4 ba5,300 sqft - Condo for sale","MLS ID #7170434, HARRY NORMAN REALTORS",2575 Peachtree Rd NE APT 24C, Atlanta,GA,30305,3,4,5300
6,"$699,900 ","563 Parkway Dr NE, Atlanta, GA 30308","3 bds2 ba1,648 sqft - House for sale","MLS ID #7171244, KELLER WILLIAMS REALTY INTOWN ATL",563 Parkway Dr NE, Atlanta,GA,30308,3,2,1648
7,"$675,000 ","2562 Hosea L Williams Dr, Atlanta, GA 30317","4 bds2 ba1,996 sqft - House for sale","MLS ID #7170122, DORSEY ALSTON REALTORS",2562 Hosea L Williams Dr, Atlanta,GA,30317,4,2,1996
8,"$340,000 ","275 13th St NE APT 805, Atlanta, GA 30309",1 bd1 ba780 sqft - Condo for sale,"MLS ID #7171168, TREND ATLANTA REALTY, INC.",275 13th St NE APT 805, Atlanta,GA,30309,1,1,780
